id,ROUGE-1,ROUGE-2,ROUGE-L,BLEU-1,BLEU-2,BLEU-3,BLEU-4,BLEU,METEOR,BERTScore-F1
515,0.1846,0.0938,0.1692,0.052,0.0249,0.0156,0.007,0.007,0.0725,-0.3244
3082,0.2045,0.1163,0.1818,0.0039,0.0026,0.0018,0.0009,0.0009,0.0596,-0.2251
1547,0.406,0.3359,0.3609,0.0641,0.0581,0.0538,0.0497,0.0497,0.2378,0.4188
13,0.0699,0.0,0.0559,0.0044,0.001,0.0006,0.0005,0.0005,0.0204,-0.4805
3085,0.0901,0.0,0.0721,0.0052,0.001,0.0006,0.0004,0.0004,0.0258,-0.24
2071,0.1667,0.0508,0.1167,0.0859,0.0112,0.0057,0.0041,0.0041,0.0545,-0.335
3095,0.1944,0.1143,0.1944,0.0527,0.027,0.0102,0.0064,0.0064,0.0552,-0.5534
3098,0.0833,0.0316,0.0729,0.0,0.0,0.0,0.0,0.0,0.0169,-0.3498
3099,0.1963,0.087,0.1595,0.037,0.0233,0.017,0.0132,0.0132,0.0825,-0.3611
551,0.2759,0.2222,0.2759,0.0008,0.0003,0.0003,0.0003,0.0003,0.0977,-0.4257
1064,0.2388,0.0615,0.209,0.0832,0.0121,0.0065,0.0048,0.0048,0.0754,-0.1775
42,0.0183,0.0,0.0183,0.0,0.0,0.0,0.0,0.0,0.006,-0.4681
45,0.1565,0.0885,0.1565,0.0053,0.0036,0.0022,0.001,0.001,0.0419,-0.1599
3117,0.0811,0.0548,0.0811,0.0528,0.0266,0.0099,0.006,0.006,0.027,-0.5713
559,0.0492,0.0248,0.0492,0.0,0.0,0.0,0.0,0.0,0.016,-0.385
1584,0.0851,0.0719,0.0851,0.0002,0.0002,0.0002,0.0001,0.0001,0.0361,-0.3903
1074,0.1754,0.0,0.1404,0.077,0.0093,0.0047,0.0033,0.0033,0.0655,-0.5485
1076,0.1111,0.0571,0.1111,0.0416,0.0095,0.0059,0.0047,0.0047,0.0248,-0.4382
2102,0.2062,0.0521,0.1546,0.0546,0.0189,0.0049,0.0025,0.0025,0.0679,-0.5351
1083,0.528,0.2439,0.4,0.2292,0.1264,0.0523,0.0191,0.0191,0.2432,0.4121
2109,0.4201,0.2673,0.3288,0.1088,0.0866,0.07,0.0571,0.0571,0.18,0.3101
574,0.1885,0.0423,0.178,0.1389,0.051,0.029,0.0124,0.0124,0.1175,-0.4065
64,0.1949,0.0104,0.1231,0.0831,0.0224,0.0067,0.0037,0.0037,0.0715,-0.6153
580,0.024,0.0,0.024,0.0055,0.0012,0.0008,0.0006,0.0006,0.006,-0.5903
2130,0.1287,0.0473,0.1287,0.0681,0.0343,0.0218,0.0098,0.0098,0.0602,-0.6334
2132,0.1221,0.0474,0.1127,0.0,0.0,0.0,0.0,0.0,0.0317,-0.2317
3157,0.0594,0.0,0.0594,0.0002,0.0,0.0,0.0,0.0,0.0191,-0.2443
1628,0.0971,0.0198,0.0583,0.0,0.0,0.0,0.0,0.0,0.0194,-0.3945
1121,0.0583,0.0396,0.0583,0.0,0.0,0.0,0.0,0.0,0.0072,-0.4466
3170,0.1867,0.0628,0.1511,0.007,0.0038,0.0026,0.002,0.002,0.0702,-0.5776
1124,0.0559,0.0339,0.0559,0.0007,0.0004,0.0002,0.0001,0.0001,0.0111,-0.2903
614,0.1548,0.0361,0.119,0.0338,0.0034,0.0016,0.0011,0.0011,0.0527,-0.4835
2669,0.1633,0.069,0.1633,0.0992,0.0472,0.0137,0.0074,0.0074,0.0791,-0.5642
110,0.2677,0.064,0.189,0.1379,0.0127,0.0058,0.0039,0.0039,0.1182,-0.518
1646,0.2745,0.1633,0.2745,0.049,0.0362,0.0268,0.0133,0.0133,0.1147,-0.2446
1648,0.1852,0.025,0.1481,0.0746,0.0079,0.0038,0.0026,0.0026,0.0634,-0.4481
3186,0.2609,0.0455,0.2174,0.1151,0.0216,0.0126,0.0098,0.0098,0.1294,-0.2592
1651,0.1087,0.0889,0.1087,0.0,0.0,0.0,0.0,0.0,0.0351,-0.1975
2675,0.1263,0.0532,0.1158,0.045,0.0262,0.0193,0.0139,0.0139,0.0421,-0.526
1653,0.087,0.0222,0.087,0.0635,0.032,0.0119,0.0073,0.0073,0.0617,-0.5818
2174,0.1471,0.0303,0.1471,0.0882,0.0449,0.0169,0.0105,0.0105,0.0631,-0.4139
1663,0.1486,0.0411,0.1486,0.0031,0.0004,0.0002,0.0001,0.0001,0.0419,-0.3774
2687,0.12,0.0,0.1,0.0275,0.0044,0.0025,0.0018,0.0018,0.0464,-0.3672
2691,0.2156,0.0364,0.1317,0.1077,0.0089,0.0039,0.0026,0.0026,0.0736,-0.4275
1668,0.3787,0.2515,0.355,0.0617,0.0425,0.0344,0.0293,0.0293,0.1536,0.2737
648,0.1589,0.0537,0.1457,0.0591,0.0225,0.0076,0.0045,0.0045,0.0502,-0.5263
2698,0.0619,0.0357,0.0619,0.012,0.0061,0.0023,0.0014,0.0014,0.0139,-0.5429
141,0.1837,0.1042,0.1837,0.0015,0.0009,0.0006,0.0003,0.0003,0.0639,-0.1684
2195,0.2623,0.0833,0.2131,0.154,0.0749,0.0518,0.0365,0.0365,0.1141,-0.3195
1684,0.2105,0.0592,0.1988,0.1168,0.051,0.027,0.0111,0.0111,0.0784,-0.4902
2709,0.1379,0.0699,0.1103,0.0002,0.0001,0.0,0.0,0.0,0.0424,-0.2967
3220,0.1184,0.04,0.1053,0.0017,0.001,0.0003,0.0002,0.0002,0.0396,-0.486
152,0.1481,0.0189,0.1296,0.0525,0.0084,0.0046,0.0034,0.0034,0.0415,-0.4009
3233,0.0935,0.0,0.0748,0.015,0.0028,0.0016,0.0012,0.0012,0.0279,-0.1763
166,0.1368,0.0426,0.1263,0.0016,0.0009,0.0006,0.0004,0.0004,0.0575,-0.373
2726,0.1538,0.0696,0.1197,0.0048,0.0031,0.0022,0.0011,0.0011,0.0299,-0.333
1705,0.1091,0.0736,0.1091,0.001,0.0008,0.0006,0.0004,0.0004,0.0383,-0.3257
2217,0.1732,0.0,0.1575,0.0466,0.0056,0.0028,0.002,0.002,0.0433,-0.52
2731,0.1739,0.0239,0.1739,0.1184,0.0289,0.0084,0.0045,0.0045,0.0735,-0.5662
2222,0.0849,0.0389,0.0849,0.0,0.0,0.0,0.0,0.0,0.015,-0.404
687,0.0928,0.0,0.0844,0.0246,0.0028,0.0013,0.0009,0.0009,0.0327,-0.6321
2224,0.156,0.0432,0.1277,0.038,0.0136,0.0045,0.0026,0.0026,0.0445,-0.4774
2737,0.0706,0.0241,0.0706,0.0008,0.0005,0.0002,0.0001,0.0001,0.0405,-0.2725
3248,0.169,0.0286,0.1268,0.0988,0.0105,0.005,0.0035,0.0035,0.0584,-0.4574
3264,0.1333,0.0548,0.1333,0.0255,0.0058,0.0036,0.0029,0.0029,0.0318,-0.4225
1229,0.1127,0.029,0.1127,0.0,0.0,0.0,0.0,0.0,0.0,-0.2709
1745,0.1683,0.0195,0.1489,0.0818,0.0175,0.0049,0.0026,0.0026,0.0638,-0.5886
